colsample_bytree,learning_rate,max_depth,min_child_weight,n_estimators,subsample,mean_rmse,std_rmse
0.7,0.1,5,1,1000,0.8,0.7809593390103623,0.036739812455553786
0.7,0.1,5,1,1000,0.9,0.7785894347513913,0.037336290231121415
0.7,0.1,5,1,1500,0.7,0.7677564648878267,0.04862878511749792
0.7,0.1,5,1,1500,0.8,0.7755814176554383,0.041412572117553614
0.7,0.1,5,1,1500,0.9,0.7753736753878809,0.046866808739493414
0.7,0.1,5,3,500,0.7,0.7894207283638919,0.040375556036645104
0.7,0.1,5,3,500,0.8,0.7925079690204555,0.03862101618180168
0.7,0.1,5,3,500,0.9,0.8025629160460079,0.04643217079297076
0.7,0.1,5,3,1000,0.7,0.7698346466163659,0.052417878511091365
0.7,0.1,5,3,1000,0.8,0.7832827050847465,0.04071327832561848
0.7,0.1,5,3,1000,0.9,0.780264960121098,0.04135595855560295
0.7,0.1,5,3,1500,0.7,0.7678896976983883,0.060240609007256016
0.7,0.1,5,3,1500,0.8,0.7815175130831813,0.04666466704389496
0.7,0.1,5,3,1500,0.9,0.7786898798504914,0.04771307555778888
0.7,0.1,5,5,500,0.7,0.7829194851863165,0.036084138714971625
0.7,0.1,5,5,500,0.8,0.7943054917582033,0.04061788525057688
0.7,0.1,5,5,500,0.9,0.7927347680587915,0.03790271812361925
0.7,0.1,5,5,1000,0.7,0.7674361357362418,0.050451827452393266
0.7,0.1,5,5,1000,0.8,0.7880443173473888,0.04661065495785763
0.7,0.1,5,5,1000,0.9,0.7851770768630058,0.038818211591680696
0.7,0.1,5,5,1500,0.7,0.7641903744023644,0.05806275739043187
0.7,0.1,5,5,1500,0.8,0.7834182188542205,0.05416675148018107
0.7,0.1,5,5,1500,0.9,0.7811668238570058,0.04401639082063573
0.7,0.1,7,1,500,0.7,0.7731921087142555,0.05083637676361488
0.7,0.1,7,1,500,0.8,0.783362639059421,0.046191560129919804
0.7,0.1,7,1,500,0.9,0.7704997888443564,0.04994381963354719
0.7,0.1,7,1,1000,0.7,0.7700785261386668,0.05778203042640019
0.7,0.1,7,1,1000,0.8,0.7807700996073468,0.05322696467211158
0.7,0.1,7,1,1000,0.9,0.7666585872011356,0.06098672221519841
0.7,0.1,7,1,1500,0.7,0.7719992506555453,0.05949867717828087
0.7,0.1,7,1,1500,0.8,0.7813065275649113,0.05562430900643322
0.7,0.1,7,1,1500,0.9,0.7676240814525841,0.0626158630652291
0.7,0.1,7,3,500,0.7,0.770010713300221,0.05244231747550442
0.7,0.1,7,3,500,0.8,0.7874385314404719,0.04481058881057165
0.7,0.1,7,3,500,0.9,0.7901039773563937,0.036175455289846566
0.7,0.1,7,3,1000,0.7,0.7678572349712839,0.06158260554200288
0.7,0.1,7,3,1000,0.8,0.7838598972171944,0.05235058321329601
0.7,0.1,7,3,1000,0.9,0.7848317306267557,0.040390209105963124
0.7,0.1,7,3,1500,0.7,0.7693202101587142,0.065536564465463
0.7,0.1,7,3,1500,0.8,0.784490545089518,0.05526315082415728
0.7,0.1,7,3,1500,0.9,0.784709654485277,0.041503253281211024
0.7,0.1,7,5,500,0.7,0.7742734529961799,0.04983113042798308
0.7,0.1,7,5,500,0.8,0.774241145562739,0.05176728087964101
0.7,0.1,7,5,500,0.9,0.7797954923903223,0.039849598471522925
0.7,0.1,7,5,1000,0.7,0.7713583249400913,0.0563232990156807
0.7,0.1,7,5,1000,0.8,0.7727279719824306,0.06138067481753116
0.7,0.1,7,5,1000,0.9,0.7783747028738581,0.04909490640344783
0.7,0.1,7,5,1500,0.7,0.7722978456582037,0.05943550599593851
0.7,0.1,7,5,1500,0.8,0.7734766612302708,0.06341243256684556
0.7,0.1,7,5,1500,0.9,0.7793884736278347,0.05052447452925433
0.7,0.1,9,1,500,0.7,0.7832024580344015,0.07116157193238298
0.7,0.1,9,1,500,0.8,0.7820087894946637,0.06538307237411364
0.7,0.1,9,1,500,0.9,0.7784357102423205,0.06197473827410546
0.7,0.1,9,1,1000,0.7,0.7835032760537197,0.07424841870253407
0.7,0.1,9,1,1000,0.8,0.7817438952282911,0.06724939048415092
0.7,0.1,9,1,1000,0.9,0.7803052844906799,0.06419922926341587
0.7,0.1,9,1,1500,0.7,0.7848963050248681,0.0747704344203509
0.7,0.1,9,1,1500,0.8,0.7833891450137104,0.0684004969335056
0.7,0.1,9,1,1500,0.9,0.7816667790936728,0.0650213284997112
0.7,0.1,9,3,500,0.7,0.7905611242825529,0.06412945170730565
0.7,0.1,9,3,500,0.8,0.7898577580669235,0.06574133947573432
0.7,0.1,9,3,500,0.9,0.7888291119237696,0.054409509903991765
0.7,0.1,9,3,1000,0.7,0.7927279747102333,0.06613613344348547
0.7,0.1,9,3,1000,0.8,0.790012512368883,0.07141137847287629
0.7,0.1,9,3,1000,0.9,0.7902079612751907,0.056468388925797364
0.7,0.1,9,3,1500,0.7,0.7940868329840074,0.06725852259743587
0.7,0.1,9,3,1500,0.8,0.7915566707627406,0.0723881399204295
0.7,0.1,9,3,1500,0.9,0.7915538626842538,0.057255358007140225
0.7,0.1,9,5,500,0.7,0.7909378675504269,0.05832771430418587
0.7,0.1,9,5,500,0.8,0.7872195696710687,0.0626822523321282
0.7,0.1,9,5,500,0.9,0.7828319069434969,0.06418089951713882
0.7,0.1,9,5,1000,0.7,0.7927725726851756,0.06099003041905259
0.7,0.1,9,5,1000,0.8,0.7896517994760044,0.06626281159091608
0.7,0.1,9,5,1000,0.9,0.7829833105256369,0.06815044935172258
0.7,0.1,9,5,1500,0.7,0.7935678067627725,0.06162338993442985
0.7,0.1,9,5,1500,0.8,0.7918081414468722,0.06828715513646053
0.7,0.1,9,5,1500,0.9,0.7845034056421605,0.0690397111841301
0.8,0.01,5,1,500,0.7,0.8548883326399844,0.08122072472059387
0.8,0.01,5,1,500,0.8,0.8560461706047665,0.08194127311231252
0.8,0.01,5,1,500,0.9,0.8558854220030543,0.08056256393638216
0.8,0.01,5,1,1000,0.7,0.8201867603714164,0.07507386974379308
0.8,0.01,5,1,1000,0.8,0.8199747329576755,0.07466427698020058
0.8,0.01,5,1,1000,0.9,0.8208666332050228,0.07319297129581069
0.8,0.01,5,1,1500,0.7,0.8059983175100431,0.06817172275295812
0.8,0.01,5,1,1500,0.8,0.8058199951992254,0.06742075821230001
0.8,0.01,5,1,1500,0.9,0.8063889962767661,0.0657890974885775
0.8,0.01,5,3,500,0.7,0.8544205353764467,0.0808529948557659
0.8,0.01,5,3,500,0.8,0.8569106377263915,0.08131289571654576
0.8,0.01,5,3,500,0.9,0.8560799166545369,0.08019159087837985
0.8,0.01,5,3,1000,0.7,0.8192067093646918,0.07387704618954072
0.8,0.01,5,3,1000,0.8,0.8225578612167398,0.0731461601759308
0.8,0.01,5,3,1000,0.9,0.8206140007541023,0.0737419013625419
0.8,0.01,5,3,1500,0.7,0.8041982858151773,0.06553509389829991
0.8,0.01,5,3,1500,0.8,0.8081248078594143,0.06519679148675521
0.8,0.01,5,3,1500,0.9,0.8051809225216549,0.06441195976312192
0.8,0.01,5,5,500,0.7,0.8548842612068812,0.0809136118884169
0.8,0.01,5,5,500,0.8,0.8571840966443723,0.08159557897779555
0.8,0.01,5,5,500,0.9,0.8538970685509655,0.08110328395932469
0.8,0.01,5,5,1000,0.7,0.8192431362472062,0.07388640271891633
0.8,0.01,5,5,1000,0.8,0.8213819161060225,0.07543798176055719
0.8,0.01,5,5,1000,0.9,0.8197957110283429,0.07283016218583223
0.8,0.01,5,5,1500,0.7,0.8043811115434595,0.06675561469648567
0.8,0.01,5,5,1500,0.8,0.8078109060061696,0.0685663308665305
0.8,0.01,5,5,1500,0.9,0.8045499905314891,0.06622375609025705
0.8,0.01,7,1,500,0.7,0.825489210536977,0.07754618796649503
0.8,0.01,7,1,500,0.8,0.8254192999519068,0.07716174620305295
0.8,0.01,7,1,500,0.9,0.8227942015541911,0.07587306559158752
0.8,0.01,7,1,1000,0.7,0.8028704144435928,0.052640761027140034
0.8,0.01,7,1,1000,0.8,0.8037560545016771,0.054776868758617835
0.8,0.01,7,1,1000,0.9,0.8018703102138705,0.04960196890461127
0.8,0.01,7,1,1500,0.7,0.7944783436867763,0.04195662609211186
0.8,0.01,7,1,1500,0.8,0.7961145545211833,0.04325466653240956
0.8,0.01,7,1,1500,0.9,0.7946839940313173,0.040182152858329205
0.8,0.01,7,3,500,0.7,0.8226096646019503,0.07665368996180043
0.8,0.01,7,3,500,0.8,0.8249748610495565,0.07633227162121949
0.8,0.01,7,3,500,0.9,0.8233476678544012,0.07876843984041956
0.8,0.01,7,3,1000,0.7,0.8027071696454678,0.05211736243819201
0.8,0.01,7,3,1000,0.8,0.8036307063107809,0.054220374068668
0.8,0.01,7,3,1000,0.9,0.8028323026338955,0.05490380245342453
0.8,0.01,7,3,1500,0.7,0.7938428911644533,0.04182822812484423
0.8,0.01,7,3,1500,0.8,0.7964845056171723,0.04478238350807662
0.8,0.01,7,3,1500,0.9,0.797579071896977,0.04595174860324538
0.8,0.01,7,5,500,0.7,0.8217845498210528,0.0764738992507992
0.8,0.01,7,5,500,0.8,0.8242639668651999,0.07404102966906846
0.8,0.01,7,5,500,0.9,0.8235239387996748,0.07553283052127575
0.8,0.01,7,5,1000,0.7,0.80112961645404,0.05394969007623537
0.8,0.01,7,5,1000,0.8,0.8011890856665117,0.05010616278111782
0.8,0.01,7,5,1000,0.9,0.8032512550283079,0.0520929865764824
0.8,0.01,7,5,1500,0.7,0.792211632386603,0.04125760776113441
0.8,0.01,7,5,1500,0.8,0.7921729554790462,0.04003203782620466
0.8,0.01,7,5,1500,0.9,0.7970776029714779,0.04371241500472407
0.8,0.01,9,1,500,0.7,0.8053743262724357,0.06574216371093622
0.8,0.01,9,1,500,0.8,0.8028472445982058,0.06527799405348175
0.8,0.01,9,1,500,0.9,0.8053480969564868,0.06627000278893347
0.8,0.01,9,1,1000,0.7,0.7890656843787316,0.04583726485162733
0.8,0.01,9,1,1000,0.8,0.7887402142562809,0.04568379570227348
0.8,0.01,9,1,1000,0.9,0.7906659464827464,0.04481599606702798
0.8,0.01,9,1,1500,0.7,0.7814926195852236,0.04947661889718464
0.8,0.01,9,1,1500,0.8,0.7832702653210074,0.04796603112153785
0.8,0.01,9,1,1500,0.9,0.7823345971624222,0.04804982394816655
0.8,0.01,9,3,500,0.7,0.8043872154083243,0.06643173312958527
0.8,0.01,9,3,500,0.8,0.8023447287501634,0.06455853170920721
0.8,0.01,9,3,500,0.9,0.8048106046988656,0.06600375786627047
0.8,0.01,9,3,1000,0.7,0.7860731619593013,0.04663486082528709
0.8,0.01,9,3,1000,0.8,0.7858825793225196,0.04577639450791167
0.8,0.01,9,3,1000,0.9,0.7857582388165638,0.04608771209566099
0.8,0.01,9,3,1500,0.7,0.7770064382428201,0.05250490030679468
0.8,0.01,9,3,1500,0.8,0.7777826775308908,0.05109276572542659
0.8,0.01,9,3,1500,0.9,0.7787690187139666,0.051060053650366
0.8,0.01,9,5,500,0.7,0.8033403942946448,0.06662807948137703
0.8,0.01,9,5,500,0.8,0.8055854042120275,0.06338722736785972
0.8,0.01,9,5,500,0.9,0.8050656440480047,0.06702824528611506
0.8,0.01,9,5,1000,0.7,0.7876777299512235,0.04575059571647545
0.8,0.01,9,5,1000,0.8,0.7879541401505998,0.044610967622811866
0.8,0.01,9,5,1000,0.9,0.7887627653162402,0.045985061915526565
0.8,0.01,9,5,1500,0.7,0.7798306871788907,0.04968869989091762
0.8,0.01,9,5,1500,0.8,0.7814159843253822,0.04837429435525033
0.8,0.01,9,5,1500,0.9,0.7817939913028005,0.050271963336711536
0.8,0.05,5,1,500,0.7,0.804338124071198,0.053362698133654116
0.8,0.05,5,1,500,0.8,0.8082242944410826,0.05945801545346311
0.8,0.05,5,1,500,0.9,0.800080552908421,0.051692329382406976
0.8,0.05,5,1,1000,0.7,0.7987506894400348,0.042753151761948244
0.8,0.05,5,1,1000,0.8,0.7968865814312612,0.03908107146034453
0.8,0.05,5,1,1000,0.9,0.7980804694857536,0.04452571375971256
0.8,0.05,5,1,1500,0.7,0.7922458892610869,0.043095087762067566
0.8,0.05,5,1,1500,0.8,0.7866999308815886,0.040427283694658964
0.8,0.05,5,1,1500,0.9,0.7884317957078503,0.04438978207621082
0.8,0.05,5,3,500,0.7,0.8023116956760548,0.04923789883242056
0.8,0.05,5,3,500,0.8,0.8024753906759454,0.05285443760881062
0.8,0.05,5,3,500,0.9,0.8035176193051841,0.05245280320338306
0.8,0.05,5,3,1000,0.7,0.7941688965967625,0.040197278892870766
0.8,0.05,5,3,1000,0.8,0.7948253452210796,0.039972604748894004
0.8,0.05,5,3,1000,0.9,0.7997074456175868,0.041500805617206746
0.8,0.05,5,3,1500,0.7,0.7855097060162051,0.04738330140526193
0.8,0.05,5,3,1500,0.8,0.7915487929177714,0.041559869362780257
0.8,0.05,5,3,1500,0.9,0.7947670667984088,0.04315062206533255
0.8,0.05,5,5,500,0.7,0.8065256950637327,0.046600624206640365
0.8,0.05,5,5,500,0.8,0.7958542156377106,0.050633690491227075
0.8,0.05,5,5,500,0.9,0.8028124597861537,0.04684863394981461
0.8,0.05,5,5,1000,0.7,0.7969939001568551,0.03950925892832868
0.8,0.05,5,5,1000,0.8,0.7871212666026194,0.03435965128795035
0.8,0.05,5,5,1000,0.9,0.7960106462477172,0.040942829283549434
0.8,0.05,5,5,1500,0.7,0.7895514744152453,0.04508780474330888
0.8,0.05,5,5,1500,0.8,0.7818927405687095,0.03854644608267314
0.8,0.05,5,5,1500,0.9,0.7920813979734687,0.048177375851728085
0.8,0.05,7,1,500,0.7,0.7881844472901814,0.04541751759842526
0.8,0.05,7,1,500,0.8,0.7955535533807585,0.04905359876314257
0.8,0.05,7,1,500,0.9,0.7952583461627392,0.046554919300384606
0.8,0.05,7,1,1000,0.7,0.7794659176616302,0.05946491710724834
0.8,0.05,7,1,1000,0.8,0.7876683857101924,0.059707060210343534
0.8,0.05,7,1,1000,0.9,0.7899720162791816,0.054194128411333996
0.8,0.05,7,1,1500,0.7,0.7778054864671382,0.06403222091148694
0.8,0.05,7,1,1500,0.8,0.783130192067137,0.06668322947073305
0.8,0.05,7,1,1500,0.9,0.7876274272298601,0.059225174934087625
0.8,0.05,7,3,500,0.7,0.7953840340183802,0.046042849800076814
0.8,0.05,7,3,500,0.8,0.7877267966255698,0.05048461808785615
0.8,0.05,7,3,500,0.9,0.8000101128020821,0.04917761399072679
0.8,0.05,7,3,1000,0.7,0.7836031999265081,0.06209187720796136
0.8,0.05,7,3,1000,0.8,0.7815266006358161,0.06499141038206155
0.8,0.05,7,3,1000,0.9,0.7948908568840047,0.05512703631182178
0.8,0.05,7,3,1500,0.7,0.7807830440278505,0.0689090738831281
0.8,0.05,7,3,1500,0.8,0.7791748019628937,0.07077075789946279
0.8,0.05,7,3,1500,0.9,0.7918821700807914,0.05761524514261055
0.8,0.05,7,5,500,0.7,0.7924541039021561,0.05304058317293577
0.8,0.05,7,5,500,0.8,0.7914179898559603,0.04801221869662124
0.8,0.05,7,5,500,0.9,0.794695613720017,0.0459367817885824
0.8,0.05,7,5,1000,0.7,0.7829121258317482,0.0695446133985773
0.8,0.05,7,5,1000,0.8,0.783713924691056,0.06441515568244956
0.8,0.05,7,5,1000,0.9,0.7839523173400413,0.05746489723748044
0.8,0.05,7,5,1500,0.7,0.7800692007836219,0.07644808184173867
0.8,0.05,7,5,1500,0.8,0.7809295532517267,0.07098646324926726
0.8,0.05,7,5,1500,0.9,0.7806728893391319,0.06416599424761348
